position,driver_number,lap_duration,meeting_key,session_key
1,44,76.609,1215,9129
2,1,76.612,1215,9129
3,4,76.694,1215,9129
4,81,76.905,1215,9129
5,24,76.971,1215,9129
6,16,76.992,1215,9129
7,77,77.034,1215,9129
8,14,77.035,1215,9129
9,11,77.045,1215,9129
10,27,77.186,1215,9129
11,55,77.703,1215,9129
12,31,77.841,1215,9129
13,3,78.002,1215,9129
14,18,78.144,1215,9129
15,10,78.217,1215,9129
16,23,78.917,1215,9129
17,22,78.919,1215,9129
18,63,79.027,1215,9129
19,20,79.206,1215,9129
20,2,79.248,1215,9129
