position,driver_number,lap_duration,meeting_key,session_key
1,81,90.641,1255,9994
2,63,90.723,1255,9994
3,4,90.793,1255,9994
4,1,90.817,1255,9994
5,44,90.927,1255,9994
6,16,91.021,1255,9994
7,6,91.079,1255,9994
8,12,91.103,1255,9994
9,22,91.638,1255,9994
10,23,91.706,1255,9994
11,31,91.625,1255,9994
12,27,91.632,1255,9994
13,14,91.688,1255,9994
14,18,91.773,1255,9994
15,55,91.84,1255,9994
16,10,91.992,1255,9994
17,87,92.018,1255,9994
18,7,92.092,1255,9994
19,5,92.141,1255,9994
20,30,92.174,1255,9994
