position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1.0,1,58,25.0,False,False,False,9158.371,0.0,1143,7787
2.0,44,58,18.0,False,False,False,9158.55,0.179,1143,7787
3.0,14,58,15.0,False,False,False,9159.14,0.769,1143,7787
4.0,18,58,12.0,False,False,False,9161.453,3.082,1143,7787
5.0,11,58,11.0,False,False,False,9161.691,3.32,1143,7787
6.0,4,58,8.0,False,False,False,9162.072,3.701,1143,7787
7.0,27,58,6.0,False,False,False,9163.31,4.939,1143,7787
8.0,81,58,4.0,False,False,False,9163.753,5.382,1143,7787
9.0,24,58,2.0,False,False,False,9164.084,5.713,1143,7787
10.0,22,58,1.0,False,False,False,9164.423,6.052,1143,7787
11.0,77,58,0.0,False,False,False,9164.884,6.513,1143,7787
12.0,55,58,0.0,False,False,False,9164.965,6.594,1143,7787
13.0,10,56,0.0,True,False,False,,,1143,7787
14.0,31,56,0.0,True,False,False,,,1143,7787
15.0,21,56,0.0,True,False,False,,,1143,7787
16.0,2,56,0.0,True,False,False,,,1143,7787
17.0,20,52,0.0,True,False,False,,,1143,7787
,63,17,0.0,True,False,False,,,1143,7787
,23,6,0.0,True,False,False,,,1143,7787
,16,0,0.0,True,False,False,,,1143,7787
