position,driver_number,lap_duration,meeting_key,session_key
1,1,88.197,1232,9492
2,11,88.263,1232,9492
3,4,88.489,1232,9492
4,55,88.682,1232,9492
5,14,88.686,1232,9492
6,81,88.76,1232,9492
7,44,88.766,1232,9492
8,16,88.786,1232,9492
9,63,89.008,1232,9492
10,22,89.413,1232,9492
11,3,89.472,1232,9492
12,27,89.494,1232,9492
13,77,89.593,1232,9492
14,23,89.714,1232,9492
15,31,89.816,1232,9492
16,18,90.024,1232,9492
17,10,90.119,1232,9492
18,20,90.131,1232,9492
19,2,90.139,1232,9492
20,24,90.143,1232,9492
