position,driver_number,lap_duration,meeting_key,session_key
1,1,71.365,1210,9090
2,14,71.449,1210,9090
3,31,71.553,1210,9090
4,55,71.63,1210,9090
5,44,71.725,1210,9090
6,16,71.471,1210,9090
7,10,71.933,1210,9090
8,63,71.964,1210,9090
9,22,72.082,1210,9090
10,4,72.254,1210,9090
11,81,72.395,1210,9090
12,21,72.428,1210,9090
13,23,72.527,1210,9090
14,18,72.623,1210,9090
15,77,72.625,1210,9090
16,2,73.113,1210,9090
17,20,73.27,1210,9090
18,27,73.279,1210,9090
19,24,73.523,1210,9090
20,11,73.85,1210,9090
