session_key,session_type,session_name,date_start,date_end,meeting_key,circuit_key,circuit_short_name,country_key,country_code,country_name,location,gmt_offset,year,is_cancelled
9599,Practice,Practice 1,2024-09-20T09:30:00+00:00,2024-09-20T10:30:00+00:00,1246,61,Singapore,157,SGP,Singapore,Marina Bay,08:00:00,2024,False
9600,Practice,Practice 2,2024-09-20T13:00:00+00:00,2024-09-20T14:00:00+00:00,1246,61,Singapore,157,SGP,Singapore,Marina Bay,08:00:00,2024,False
9601,Practice,Practice 3,2024-09-21T09:30:00+00:00,2024-09-21T10:30:00+00:00,1246,61,Singapore,157,SGP,Singapore,Marina Bay,08:00:00,2024,False
9602,Qualifying,Qualifying,2024-09-21T13:00:00+00:00,2024-09-21T14:00:00+00:00,1246,61,Singapore,157,SGP,Singapore,Marina Bay,08:00:00,2024,False
9606,Race,Race,2024-09-22T12:00:00+00:00,2024-09-22T14:00:00+00:00,1246,61,Singapore,157,SGP,Singapore,Marina Bay,08:00:00,2024,False
