position,driver_number,lap_duration,meeting_key,session_key
1,16,94.723,1222,9207
2,4,94.853,1222,9207
3,44,94.862,1222,9207
4,55,94.945,1222,9207
5,63,95.079,1222,9207
6,1,95.081,1222,9207
7,10,95.089,1222,9207
8,31,95.154,1222,9207
9,11,95.173,1222,9207
10,81,95.467,1222,9207
11,22,95.697,1222,9207
12,24,95.698,1222,9207
13,77,95.858,1222,9207
14,3,95.974,1222,9207
15,23,96.315,1222,9207
16,2,96.827,1222,9207
17,20,95.88,1222,9207
18,27,96.235,1222,9207
19,14,96.268,1222,9207
20,18,96.589,1222,9207
