position,driver_number,lap_duration,meeting_key,session_key
1,55,90.984,1219,9161
2,63,91.056,1219,9161
3,16,91.063,1219,9161
4,4,91.27,1219,9161
5,44,91.485,1219,9161
6,20,91.575,1219,9161
7,14,91.615,1219,9161
8,31,91.673,1219,9161
9,27,91.808,1219,9161
10,40,92.268,1219,9161
11,1,92.173,1219,9161
12,10,92.274,1219,9161
13,11,92.31,1219,9161
14,23,93.719,1219,9161
15,22,,1219,9161
16,77,92.809,1219,9161
17,81,92.902,1219,9161
18,2,93.252,1219,9161
19,24,93.258,1219,9161
20,18,93.397,1219,9161
