position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1.0,1,57,25.0,False,False,False,5636.736,0,1141,7953
2.0,11,57,18.0,False,False,False,5648.723,11.987,1141,7953
3.0,14,57,15.0,False,False,False,5675.373,38.637,1141,7953
4.0,55,57,12.0,False,False,False,5684.788,48.052,1141,7953
5.0,44,57,10.0,False,False,False,5687.713,50.977,1141,7953
6.0,18,57,8.0,False,False,False,5691.238,54.502,1141,7953
7.0,63,57,6.0,False,False,False,5692.609,55.873,1141,7953
8.0,77,57,4.0,False,False,False,5709.383,72.647,1141,7953
9.0,10,57,2.0,False,False,False,5710.489,73.753,1141,7953
10.0,23,57,1.0,False,False,False,5726.51,89.774,1141,7953
11.0,22,57,0.0,False,False,False,5727.606,90.87,1141,7953
12.0,2,56,0.0,False,False,False,,+1 LAP,1141,7953
13.0,20,56,0.0,False,False,False,,+1 LAP,1141,7953
14.0,21,56,0.0,False,False,False,,+1 LAP,1141,7953
15.0,27,56,0.0,False,False,False,,+1 LAP,1141,7953
16.0,24,56,0.0,False,False,False,,+1 LAP,1141,7953
17.0,4,55,0.0,False,False,False,,+2 LAPS,1141,7953
,31,41,0.0,True,False,False,,,1141,7953
,16,39,0.0,True,False,False,,,1141,7953
,81,13,0.0,True,False,False,,,1141,7953
