position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1.0,4,57,25.0,False,False,False,5449.876,0.0,1234,9507
2.0,1,57,18.0,False,False,False,5457.488,7.612,1234,9507
3.0,16,57,15.0,False,False,False,5459.796,9.92,1234,9507
4.0,11,57,12.0,False,False,False,5464.526,14.65,1234,9507
5.0,55,57,10.0,False,False,False,5466.283,16.407,1234,9507
6.0,44,57,8.0,False,False,False,5466.461,16.585,1234,9507
7.0,22,57,6.0,False,False,False,5476.061,26.185,1234,9507
8.0,63,57,4.0,False,False,False,5484.665,34.789,1234,9507
9.0,14,57,2.0,False,False,False,5486.983,37.107,1234,9507
10.0,31,57,1.0,False,False,False,5489.622,39.746,1234,9507
11.0,27,57,0.0,False,False,False,5490.665,40.789,1234,9507
12.0,10,57,0.0,False,False,False,5494.834,44.958,1234,9507
13.0,81,57,0.0,False,False,False,5499.632,49.756,1234,9507
14.0,24,57,0.0,False,False,False,5499.855,49.979,1234,9507
15.0,3,57,0.0,False,False,False,5500.832,50.956,1234,9507
16.0,77,57,0.0,False,False,False,5502.232,52.356,1234,9507
17.0,18,57,0.0,False,False,False,5505.049,55.173,1234,9507
18.0,23,57,0.0,False,False,False,5525.967,76.091,1234,9507
19.0,20,57,0.0,False,False,False,5534.559,84.683,1234,9507
,2,27,0.0,True,False,False,,,1234,9507
