position,driver_number,lap_duration,meeting_key,session_key
1,1,83.778,1221,9215
2,63,84.219,1221,9215
3,44,84.305,1221,9215
4,14,84.369,1221,9215
5,16,84.424,1221,9215
6,81,84.54,1221,9215
7,10,84.553,1221,9215
8,31,84.763,1221,9215
9,77,85.058,1221,9215
10,4,,1221,9215
11,22,85.301,1221,9215
12,55,85.328,1221,9215
13,23,85.707,1221,9215
14,27,85.783,1221,9215
15,2,86.21,1221,9215
16,18,86.345,1221,9215
17,40,86.635,1221,9215
18,20,87.046,1221,9215
19,24,87.432,1221,9215
20,11,85.462,1221,9215
