session_key,session_type,session_name,date_start,date_end,meeting_key,circuit_key,circuit_short_name,country_key,country_code,country_name,location,gmt_offset,year,is_cancelled
9111,Practice,Practice 1,2023-06-30T11:30:00+00:00,2023-06-30T12:30:00+00:00,1213,19,Spielberg,17,AUT,Austria,Spielberg,02:00:00,2023,False
9112,Qualifying,Qualifying,2023-06-30T15:00:00+00:00,2023-06-30T16:00:00+00:00,1213,19,Spielberg,17,AUT,Austria,Spielberg,02:00:00,2023,False
9282,Qualifying,Sprint Qualifying,2023-07-01T10:00:00+00:00,2023-07-01T10:44:00+00:00,1213,19,Spielberg,17,AUT,Austria,Spielberg,02:00:00,2023,False
9117,Race,Sprint,2023-07-01T14:30:00+00:00,2023-07-01T15:00:00+00:00,1213,19,Spielberg,17,AUT,Austria,Spielberg,02:00:00,2023,False
9118,Race,Race,2023-07-02T13:00:00+00:00,2023-07-02T15:00:00+00:00,1213,19,Spielberg,17,AUT,Austria,Spielberg,02:00:00,2023,False
