session_key,session_type,session_name,date_start,date_end,meeting_key,circuit_key,circuit_short_name,country_key,country_code,country_name,location,gmt_offset,year,is_cancelled
9637,Practice,Practice 1,2024-11-22T02:30:00+00:00,2024-11-22T03:30:00+00:00,1250,152,Las Vegas,19,USA,United States,Las Vegas,-08:00:00,2024,False
9638,Practice,Practice 2,2024-11-22T06:00:00+00:00,2024-11-22T07:00:00+00:00,1250,152,Las Vegas,19,USA,United States,Las Vegas,-08:00:00,2024,False
9639,Practice,Practice 3,2024-11-23T02:30:00+00:00,2024-11-23T03:30:00+00:00,1250,152,Las Vegas,19,USA,United States,Las Vegas,-08:00:00,2024,False
9640,Qualifying,Qualifying,2024-11-23T06:00:00+00:00,2024-11-23T07:00:00+00:00,1250,152,Las Vegas,19,USA,United States,Las Vegas,-08:00:00,2024,False
9644,Race,Race,2024-11-24T06:00:00+00:00,2024-11-24T07:59:59+00:00,1250,152,Las Vegas,19,USA,United States,Las Vegas,-08:00:00,2024,False
