position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1.0,1,44,25.0,False,False,False,4950.45,0.0,1216,9141
2.0,11,44,18.0,False,False,False,4972.755,22.305,1216,9141
3.0,16,44,15.0,False,False,False,4982.709,32.259,1216,9141
4.0,44,44,13.0,False,False,False,5000.121,49.671,1216,9141
5.0,14,44,10.0,False,False,False,5006.634,56.184,1216,9141
6.0,63,44,8.0,False,False,False,5013.551,63.101,1216,9141
7.0,4,44,6.0,False,False,False,5024.169,73.719,1216,9141
8.0,31,44,4.0,False,False,False,5025.169,74.719,1216,9141
9.0,18,44,2.0,False,False,False,5029.79,79.34,1216,9141
10.0,22,44,1.0,False,False,False,5030.671,80.221,1216,9141
11.0,10,44,0.0,False,False,False,5033.534,83.084,1216,9141
12.0,77,44,0.0,False,False,False,5035.641,85.191,1216,9141
13.0,24,44,0.0,False,False,False,5045.891,95.441,1216,9141
14.0,23,44,0.0,False,False,False,5046.634,96.184,1216,9141
15.0,20,44,0.0,False,False,False,5052.204,101.754,1216,9141
16.0,3,44,0.0,False,False,False,5053.521,103.071,1216,9141
17.0,2,44,0.0,False,False,False,5054.926,104.476,1216,9141
18.0,27,44,0.0,False,False,False,5060.9,110.45,1216,9141
,55,23,0.0,True,False,False,,,1216,9141
,81,0,0.0,True,False,False,,,1216,9141
