position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,1,66,26.0,False,False,False,5277.94,0,1211,9102
2,44,66,18.0,False,False,False,5302.03,24.09,1211,9102
3,63,66,15.0,False,False,False,5310.329,32.389,1211,9102
4,11,66,12.0,False,False,False,5313.752,35.812,1211,9102
5,55,66,10.0,False,False,False,5323.638,45.698,1211,9102
6,18,66,8.0,False,False,False,5341.26,63.32,1211,9102
7,14,66,6.0,False,False,False,5342.067,64.127,1211,9102
8,31,66,4.0,False,False,False,5347.182,69.242,1211,9102
9,24,66,2.0,False,False,False,5349.818,71.878,1211,9102
10,10,66,1.0,False,False,False,5351.47,73.53,1211,9102
11,16,66,0.0,False,False,False,5352.359,74.419,1211,9102
12,22,66,0.0,False,False,False,5353.356,75.416,1211,9102
13,81,65,0.0,False,False,False,,+1 LAP,1211,9102
14,21,65,0.0,False,False,False,,+1 LAP,1211,9102
15,27,65,0.0,False,False,False,,+1 LAP,1211,9102
16,23,65,0.0,False,False,False,,+1 LAP,1211,9102
17,4,65,0.0,False,False,False,,+1 LAP,1211,9102
18,20,65,0.0,False,False,False,,+1 LAP,1211,9102
19,77,65,0.0,False,False,False,,+1 LAP,1211,9102
20,2,65,0.0,False,False,False,,+1 LAP,1211,9102
