position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1.0,1,50,25.0,False,False,False,5348.289,0.0,1225,9189
2.0,16,50,18.0,False,False,False,5350.359,2.07,1225,9189
3.0,11,50,15.0,False,False,False,5350.53,2.241,1225,9189
4.0,31,50,12.0,False,False,False,5366.954,18.665,1225,9189
5.0,18,50,10.0,False,False,False,5368.356,20.067,1225,9189
6.0,55,50,8.0,False,False,False,5369.123,20.834,1225,9189
7.0,44,50,6.0,False,False,False,5370.044,21.755,1225,9189
8.0,63,50,4.0,False,False,False,5371.38,23.091,1225,9189
9.0,14,50,2.0,False,False,False,5374.253,25.964,1225,9189
10.0,81,50,2.0,False,False,False,5377.785,29.496,1225,9189
11.0,10,50,0.0,False,False,False,5382.559,34.27,1225,9189
12.0,23,50,0.0,False,False,False,5391.687,43.398,1225,9189
13.0,20,50,0.0,False,False,False,5393.114,44.825,1225,9189
14.0,3,50,0.0,False,False,False,5396.814,48.525,1225,9189
15.0,24,50,0.0,False,False,False,5398.451,50.162,1225,9189
16.0,2,50,0.0,False,False,False,5399.171,50.882,1225,9189
17.0,77,50,0.0,False,False,False,5433.639,85.35,1225,9189
18.0,22,46,0.0,True,False,False,,,1225,9189
19.0,27,45,0.0,True,False,False,,,1225,9189
,4,2,0.0,True,False,False,,,1225,9189
