position,driver_number,lap_duration,meeting_key,session_key
1,16,106.988,1216,9135
2,11,107.045,1216,9135
3,44,107.087,1216,9135
4,55,107.152,1216,9135
5,81,107.365,1216,9135
6,1,106.168,1216,9135
7,4,107.669,1216,9135
8,63,107.805,1216,9135
9,14,107.843,1216,9135
10,18,108.841,1216,9135
11,22,113.148,1216,9135
12,10,113.671,1216,9135
13,77,114.694,1216,9135
14,31,116.372,1216,9135
15,23,120.314,1216,9135
16,20,114.16,1216,9135
17,24,120.832,1216,9135
18,2,121.535,1216,9135
19,3,122.159,1216,9135
20,27,123.166,1216,9135
