position,driver_number,lap_duration,meeting_key,session_key
1,16,92.726,1225,9314
2,1,93.104,1225,9314
3,63,93.112,1225,9314
4,10,93.239,1225,9314
5,23,93.323,1225,9314
6,2,93.513,1225,9314
7,77,93.525,1225,9314
8,20,93.537,1225,9314
9,14,93.555,1225,9314
10,44,93.837,1225,9314
11,11,93.855,1225,9314
12,55,92.77,1225,9314
13,27,93.979,1225,9314
14,3,94.308,1225,9314
15,4,94.703,1225,9314
16,31,94.834,1225,9314
17,24,94.849,1225,9314
18,81,94.85,1225,9314
19,18,94.199,1225,9314
20,22,96.447,1225,9314
