position,driver_number,lap_duration,meeting_key,session_key
1,55,80.294,1218,9153
2,1,80.307,1218,9153
3,16,80.361,1218,9153
4,63,80.671,1218,9153
5,11,80.688,1218,9153
6,23,80.76,1218,9153
7,81,80.785,1218,9153
8,44,80.82,1218,9153
9,4,80.979,1218,9153
10,14,81.417,1218,9153
11,22,81.594,1218,9153
12,40,81.758,1218,9153
13,27,81.776,1218,9153
14,77,81.94,1218,9153
15,2,81.944,1218,9153
16,24,82.39,1218,9153
17,10,82.545,1218,9153
18,31,82.548,1218,9153
19,20,82.592,1218,9153
20,18,82.86,1218,9153
