position,driver_number,lap_duration,meeting_key,session_key
1,1,64.391,1213,9112
2,16,64.439,1213,9112
3,55,64.581,1213,9112
4,4,64.658,1213,9112
5,44,64.819,1213,9112
6,18,64.893,1213,9112
7,14,64.911,1213,9112
8,27,65.09,1213,9112
9,10,65.17,1213,9112
10,23,65.823,1213,9112
11,63,65.428,1213,9112
12,31,65.453,1213,9112
13,81,65.605,1213,9112
14,77,65.68,1213,9112
15,11,126.688,1213,9112
16,22,65.784,1213,9112
17,24,65.818,1213,9112
18,2,65.948,1213,9112
19,20,65.971,1213,9112
20,21,65.974,1213,9112
