position,driver_number,lap_duration,meeting_key,session_key
1,1,85.858,1212,9106
2,14,87.286,1212,9106
3,44,87.627,1212,9106
4,63,87.893,1212,9106
5,27,87.102,1212,9106
6,31,87.945,1212,9106
7,4,88.046,1212,9106
8,81,91.349,1212,9106
9,23,,1212,9106
10,16,80.615,1212,9106
11,55,89.294,1212,9106
12,11,80.959,1212,9106
13,20,81.678,1212,9106
14,77,81.821,1212,9106
15,10,82.886,1212,9106
16,18,81.484,1212,9106
17,21,83.137,1212,9106
18,2,83.337,1212,9106
19,22,82.746,1212,9106
20,24,83.342,1212,9106
