position,driver_number,lap_duration,meeting_key,session_key
1,16,100.203,1207,9064
2,1,100.391,1207,9064
3,11,100.495,1207,9064
4,55,101.016,1207,9064
5,44,101.177,1207,9064
6,14,101.253,1207,9064
7,4,101.281,1207,9064
8,22,101.581,1207,9064
9,18,101.611,1207,9064
10,81,101.611,1207,9064
11,63,101.654,1207,9064
12,23,101.818,1207,9064
13,77,102.259,1207,9064
14,2,102.395,1207,9064
15,24,102.642,1207,9064
16,20,103.417,1207,9064
17,10,104.853,1207,9064
18,21,115.282,1207,9064
19,31,101.798,1207,9064
20,27,102.755,1207,9064
