position,driver_number,lap_duration,meeting_key,session_key
1,1,86.72,1214,9122
2,4,86.961,1214,9122
3,81,87.092,1214,9122
4,16,87.136,1214,9122
5,55,87.148,1214,9122
6,63,87.155,1214,9122
7,44,87.211,1214,9122
8,23,87.53,1214,9122
9,14,87.659,1214,9122
10,10,87.689,1214,9122
11,27,88.896,1214,9122
12,18,88.935,1214,9122
13,31,88.956,1214,9122
14,2,89.031,1214,9122
15,11,89.968,1214,9122
16,22,90.025,1214,9122
17,24,90.123,1214,9122
18,21,90.513,1214,9122
19,20,92.378,1214,9122
20,77,,1214,9122
