position,driver_number,lap_duration,meeting_key,session_key
1,11,88.265,1142,7775
2,14,88.73,1142,7775
3,63,88.857,1142,7775
4,55,88.931,1142,7775
5,18,88.945,1142,7775
6,31,89.078,1142,7775
7,44,89.223,1142,7775
8,81,89.243,1142,7775
9,10,89.357,1142,7775
10,27,89.451,1142,7775
11,24,89.461,1142,7775
12,16,88.42,1142,7775
13,20,89.634,1142,7775
14,77,89.668,1142,7775
15,1,109.953,1142,7775
16,22,89.939,1142,7775
17,23,89.994,1142,7775
18,21,90.244,1142,7775
19,4,90.447,1142,7775
20,2,128.51,1142,7775
