session_key,session_type,session_name,date_start,date_end,meeting_key,circuit_key,circuit_short_name,country_key,country_code,country_name,location,gmt_offset,year,is_cancelled,season
9982,Practice,Practice 3,2025-05-17T10:30:00+00:00,2025-05-17T11:30:00+00:00,1260,6,Imola,13,ITA,Italy,Imola,02:00:00,2025,False,2025
9983,Qualifying,Qualifying,2025-05-17T14:00:00+00:00,2025-05-17T15:00:00+00:00,1260,6,Imola,13,ITA,Italy,Imola,02:00:00,2025,False,2025
9987,Race,Race,2025-05-18T13:00:00+00:00,2025-05-18T15:00:00+00:00,1260,6,Imola,13,ITA,Italy,Imola,02:00:00,2025,False,2025
9972,Practice,Practice 1,2025-05-23T11:30:00+00:00,2025-05-23T12:30:00+00:00,1261,22,Monte Carlo,114,MON,Monaco,Monaco,02:00:00,2025,False,2025
9973,Practice,Practice 2,2025-05-23T15:00:00+00:00,2025-05-23T16:00:00+00:00,1261,22,Monte Carlo,114,MON,Monaco,Monaco,02:00:00,2025,False,2025
9974,Practice,Practice 3,2025-05-24T10:30:00+00:00,2025-05-24T11:30:00+00:00,1261,22,Monte Carlo,114,MON,Monaco,Monaco,02:00:00,2025,False,2025
9975,Qualifying,Qualifying,2025-05-24T14:00:00+00:00,2025-05-24T15:00:00+00:00,1261,22,Monte Carlo,114,MON,Monaco,Monaco,02:00:00,2025,False,2025
9979,Race,Race,2025-05-25T13:00:00+00:00,2025-05-25T15:00:00+00:00,1261,22,Monte Carlo,114,MON,Monaco,Monaco,02:00:00,2025,False,2025
9964,Practice,Practice 1,2025-05-30T11:30:00+00:00,2025-05-30T12:30:00+00:00,1262,15,Catalunya,1,ESP,Spain,Barcelona,02:00:00,2025,False,2025
9965,Practice,Practice 2,2025-05-30T15:00:00+00:00,2025-05-30T16:00:00+00:00,1262,15,Catalunya,1,ESP,Spain,Barcelona,02:00:00,2025,False,2025
9966,Practice,Practice 3,2025-05-31T10:30:00+00:00,2025-05-31T11:30:00+00:00,1262,15,Catalunya,1,ESP,Spain,Barcelona,02:00:00,2025,False,2025
9967,Qualifying,Qualifying,2025-05-31T14:00:00+00:00,2025-05-31T15:00:00+00:00,1262,15,Catalunya,1,ESP,Spain,Barcelona,02:00:00,2025,False,2025
9971,Race,Race,2025-06-01T13:00:00+00:00,2025-06-01T15:00:00+00:00,1262,15,Catalunya,1,ESP,Spain,Barcelona,02:00:00,2025,False,2025
