session_key,session_type,session_name,date_start,date_end,meeting_key,circuit_key,circuit_short_name,country_key,country_code,country_name,location,gmt_offset,year,is_cancelled,season
9222,Practice,Day 1,2023-02-23T07:00:00+00:00,2023-02-23T16:30:00+00:00,1140,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2023,False,2023
7763,Practice,Day 2,2023-02-24T07:00:00+00:00,2023-02-24T16:30:00+00:00,1140,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2023,False,2023
7764,Practice,Day 3,2023-02-25T07:00:00+00:00,2023-02-25T16:30:00+00:00,1140,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2023,False,2023
7765,Practice,Practice 1,2023-03-03T11:30:00+00:00,2023-03-03T12:30:00+00:00,1141,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2023,False,2023
7766,Practice,Practice 2,2023-03-03T15:00:00+00:00,2023-03-03T16:00:00+00:00,1141,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2023,False,2023
7767,Practice,Practice 3,2023-03-04T11:30:00+00:00,2023-03-04T12:30:00+00:00,1141,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2023,False,2023
7768,Qualifying,Qualifying,2023-03-04T15:00:00+00:00,2023-03-04T16:00:00+00:00,1141,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2023,False,2023
7953,Race,Race,2023-03-05T15:00:00+00:00,2023-03-05T17:00:00+00:00,1141,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2023,False,2023
7772,Practice,Practice 1,2023-03-17T13:30:00+00:00,2023-03-17T14:30:00+00:00,1142,149,Jeddah,153,KSA,Saudi Arabia,Jeddah,03:00:00,2023,False,2023
7773,Practice,Practice 2,2023-03-17T17:00:00+00:00,2023-03-17T18:00:00+00:00,1142,149,Jeddah,153,KSA,Saudi Arabia,Jeddah,03:00:00,2023,False,2023
7774,Practice,Practice 3,2023-03-18T13:30:00+00:00,2023-03-18T14:30:00+00:00,1142,149,Jeddah,153,KSA,Saudi Arabia,Jeddah,03:00:00,2023,False,2023
7775,Qualifying,Qualifying,2023-03-18T17:00:00+00:00,2023-03-18T18:00:00+00:00,1142,149,Jeddah,153,KSA,Saudi Arabia,Jeddah,03:00:00,2023,False,2023
7779,Race,Race,2023-03-19T17:00:00+00:00,2023-03-19T19:00:00+00:00,1142,149,Jeddah,153,KSA,Saudi Arabia,Jeddah,03:00:00,2023,False,2023
7780,Practice,Practice 1,2023-03-31T02:30:00+00:00,2023-03-31T03:30:00+00:00,1143,10,Melbourne,5,AUS,Australia,Melbourne,10:00:00,2023,False,2023
7781,Practice,Practice 2,2023-03-31T06:00:00+00:00,2023-03-31T07:00:00+00:00,1143,10,Melbourne,5,AUS,Australia,Melbourne,10:00:00,2023,False,2023
7782,Practice,Practice 3,2023-04-01T02:30:00+00:00,2023-04-01T03:30:00+00:00,1143,10,Melbourne,5,AUS,Australia,Melbourne,10:00:00,2023,False,2023
7783,Qualifying,Qualifying,2023-04-01T06:00:00+00:00,2023-04-01T07:00:00+00:00,1143,10,Melbourne,5,AUS,Australia,Melbourne,10:00:00,2023,False,2023
7787,Race,Race,2023-04-02T05:00:00+00:00,2023-04-02T07:00:00+00:00,1143,10,Melbourne,5,AUS,Australia,Melbourne,10:00:00,2023,False,2023
9063,Practice,Practice 1,2023-04-28T09:30:00+00:00,2023-04-28T10:30:00+00:00,1207,144,Baku,30,AZE,Azerbaijan,Baku,04:00:00,2023,False,2023
9064,Qualifying,Qualifying,2023-04-28T13:00:00+00:00,2023-04-28T14:00:00+00:00,1207,144,Baku,30,AZE,Azerbaijan,Baku,04:00:00,2023,False,2023
9278,Qualifying,Sprint Qualifying,2023-04-29T08:30:00+00:00,2023-04-29T09:14:00+00:00,1207,144,Baku,30,AZE,Azerbaijan,Baku,04:00:00,2023,False,2023
9069,Race,Sprint,2023-04-29T13:30:00+00:00,2023-04-29T14:00:00+00:00,1207,144,Baku,30,AZE,Azerbaijan,Baku,04:00:00,2023,False,2023
9070,Race,Race,2023-04-30T11:00:00+00:00,2023-04-30T13:00:00+00:00,1207,144,Baku,30,AZE,Azerbaijan,Baku,04:00:00,2023,False,2023
9071,Practice,Practice 1,2023-05-05T18:00:00+00:00,2023-05-05T19:00:00+00:00,1208,151,Miami,19,USA,United States,Miami,-04:00:00,2023,False,2023
9072,Practice,Practice 2,2023-05-05T21:30:00+00:00,2023-05-05T22:30:00+00:00,1208,151,Miami,19,USA,United States,Miami,-04:00:00,2023,False,2023
9073,Practice,Practice 3,2023-05-06T16:30:00+00:00,2023-05-06T17:30:00+00:00,1208,151,Miami,19,USA,United States,Miami,-04:00:00,2023,False,2023
9074,Qualifying,Qualifying,2023-05-06T20:00:00+00:00,2023-05-06T21:00:00+00:00,1208,151,Miami,19,USA,United States,Miami,-04:00:00,2023,False,2023
9078,Race,Race,2023-05-07T19:30:00+00:00,2023-05-07T21:30:00+00:00,1208,151,Miami,19,USA,United States,Miami,-04:00:00,2023,False,2023
9079,Practice,Practice 1,2023-05-19T11:30:00+00:00,2023-05-19T12:30:00+00:00,1209,6,Imola,13,ITA,Italy,Imola,02:00:00,2023,True,2023
9080,Practice,Practice 2,2023-05-19T15:00:00+00:00,2023-05-19T16:00:00+00:00,1209,6,Imola,13,ITA,Italy,Imola,02:00:00,2023,True,2023
9081,Practice,Practice 3,2023-05-20T10:30:00+00:00,2023-05-20T11:30:00+00:00,1209,6,Imola,13,ITA,Italy,Imola,02:00:00,2023,True,2023
9082,Qualifying,Qualifying,2023-05-20T14:00:00+00:00,2023-05-20T15:00:00+00:00,1209,6,Imola,13,ITA,Italy,Imola,02:00:00,2023,True,2023
9086,Race,Race,2023-05-21T13:00:00+00:00,2023-05-21T15:00:00+00:00,1209,6,Imola,13,ITA,Italy,Imola,02:00:00,2023,True,2023
9087,Practice,Practice 1,2023-05-26T11:30:00+00:00,2023-05-26T12:30:00+00:00,1210,22,Monte Carlo,114,MON,Monaco,Monaco,02:00:00,2023,False,2023
9088,Practice,Practice 2,2023-05-26T15:00:00+00:00,2023-05-26T16:00:00+00:00,1210,22,Monte Carlo,114,MON,Monaco,Monaco,02:00:00,2023,False,2023
9089,Practice,Practice 3,2023-05-27T10:30:00+00:00,2023-05-27T11:30:00+00:00,1210,22,Monte Carlo,114,MON,Monaco,Monaco,02:00:00,2023,False,2023
9090,Qualifying,Qualifying,2023-05-27T14:00:00+00:00,2023-05-27T15:00:00+00:00,1210,22,Monte Carlo,114,MON,Monaco,Monaco,02:00:00,2023,False,2023
9094,Race,Race,2023-05-28T13:00:00+00:00,2023-05-28T15:00:00+00:00,1210,22,Monte Carlo,114,MON,Monaco,Monaco,02:00:00,2023,False,2023
9095,Practice,Practice 1,2023-06-02T11:30:00+00:00,2023-06-02T12:30:00+00:00,1211,15,Catalunya,1,ESP,Spain,Barcelona,02:00:00,2023,False,2023
9096,Practice,Practice 2,2023-06-02T15:00:00+00:00,2023-06-02T16:00:00+00:00,1211,15,Catalunya,1,ESP,Spain,Barcelona,02:00:00,2023,False,2023
9097,Practice,Practice 3,2023-06-03T10:30:00+00:00,2023-06-03T11:30:00+00:00,1211,15,Catalunya,1,ESP,Spain,Barcelona,02:00:00,2023,False,2023
9098,Qualifying,Qualifying,2023-06-03T14:00:00+00:00,2023-06-03T15:00:00+00:00,1211,15,Catalunya,1,ESP,Spain,Barcelona,02:00:00,2023,False,2023
9102,Race,Race,2023-06-04T13:00:00+00:00,2023-06-04T15:00:00+00:00,1211,15,Catalunya,1,ESP,Spain,Barcelona,02:00:00,2023,False,2023
9103,Practice,Practice 1,2023-06-16T17:30:00+00:00,2023-06-16T18:30:00+00:00,1212,23,Montreal,46,CAN,Canada,Montréal,-04:00:00,2023,False,2023
9104,Practice,Practice 2,2023-06-16T20:30:00+00:00,2023-06-16T22:00:00+00:00,1212,23,Montreal,46,CAN,Canada,Montréal,-04:00:00,2023,False,2023
9105,Practice,Practice 3,2023-06-17T16:30:00+00:00,2023-06-17T17:30:00+00:00,1212,23,Montreal,46,CAN,Canada,Montréal,-04:00:00,2023,False,2023
9106,Qualifying,Qualifying,2023-06-17T20:00:00+00:00,2023-06-17T21:00:00+00:00,1212,23,Montreal,46,CAN,Canada,Montréal,-04:00:00,2023,False,2023
9110,Race,Race,2023-06-18T18:00:00+00:00,2023-06-18T20:00:00+00:00,1212,23,Montreal,46,CAN,Canada,Montréal,-04:00:00,2023,False,2023
9111,Practice,Practice 1,2023-06-30T11:30:00+00:00,2023-06-30T12:30:00+00:00,1213,19,Spielberg,17,AUT,Austria,Spielberg,02:00:00,2023,False,2023
9112,Qualifying,Qualifying,2023-06-30T15:00:00+00:00,2023-06-30T16:00:00+00:00,1213,19,Spielberg,17,AUT,Austria,Spielberg,02:00:00,2023,False,2023
9282,Qualifying,Sprint Qualifying,2023-07-01T10:00:00+00:00,2023-07-01T10:44:00+00:00,1213,19,Spielberg,17,AUT,Austria,Spielberg,02:00:00,2023,False,2023
9117,Race,Sprint,2023-07-01T14:30:00+00:00,2023-07-01T15:00:00+00:00,1213,19,Spielberg,17,AUT,Austria,Spielberg,02:00:00,2023,False,2023
9118,Race,Race,2023-07-02T13:00:00+00:00,2023-07-02T15:00:00+00:00,1213,19,Spielberg,17,AUT,Austria,Spielberg,02:00:00,2023,False,2023
9119,Practice,Practice 1,2023-07-07T11:30:00+00:00,2023-07-07T12:30:00+00:00,1214,2,Silverstone,2,GBR,United Kingdom,Silverstone,01:00:00,2023,False,2023
9120,Practice,Practice 2,2023-07-07T15:00:00+00:00,2023-07-07T16:00:00+00:00,1214,2,Silverstone,2,GBR,United Kingdom,Silverstone,01:00:00,2023,False,2023
9121,Practice,Practice 3,2023-07-08T10:30:00+00:00,2023-07-08T11:30:00+00:00,1214,2,Silverstone,2,GBR,United Kingdom,Silverstone,01:00:00,2023,False,2023
9122,Qualifying,Qualifying,2023-07-08T14:00:00+00:00,2023-07-08T15:00:00+00:00,1214,2,Silverstone,2,GBR,United Kingdom,Silverstone,01:00:00,2023,False,2023
9126,Race,Race,2023-07-09T14:00:00+00:00,2023-07-09T16:00:00+00:00,1214,2,Silverstone,2,GBR,United Kingdom,Silverstone,01:00:00,2023,False,2023
9223,Practice,Practice 1,2023-07-21T11:30:00+00:00,2023-07-21T12:30:00+00:00,1215,4,Hungaroring,14,HUN,Hungary,Budapest,02:00:00,2023,False,2023
9127,Practice,Practice 2,2023-07-21T15:00:00+00:00,2023-07-21T16:00:00+00:00,1215,4,Hungaroring,14,HUN,Hungary,Budapest,02:00:00,2023,False,2023
9128,Practice,Practice 3,2023-07-22T10:30:00+00:00,2023-07-22T11:30:00+00:00,1215,4,Hungaroring,14,HUN,Hungary,Budapest,02:00:00,2023,False,2023
9129,Qualifying,Qualifying,2023-07-22T14:00:00+00:00,2023-07-22T15:00:00+00:00,1215,4,Hungaroring,14,HUN,Hungary,Budapest,02:00:00,2023,False,2023
9133,Race,Race,2023-07-23T13:00:00+00:00,2023-07-23T15:00:00+00:00,1215,4,Hungaroring,14,HUN,Hungary,Budapest,02:00:00,2023,False,2023
9134,Practice,Practice 1,2023-07-28T11:30:00+00:00,2023-07-28T12:30:00+00:00,1216,7,Spa-Francorchamps,16,BEL,Belgium,Spa-Francorchamps,02:00:00,2023,False,2023
9135,Qualifying,Qualifying,2023-07-28T15:00:00+00:00,2023-07-28T16:00:00+00:00,1216,7,Spa-Francorchamps,16,BEL,Belgium,Spa-Francorchamps,02:00:00,2023,False,2023
