position,driver_number,lap_duration,meeting_key,session_key,session_name,season,meeting_name,circuit_short_name,date_start,race_key,driver,driver_full_name,team_name
1,4,75.096,1254,9689,Qualifying,2025,Australian Grand Prix,Melbourne,2025-03-15T05:00:00+00:00,melbourne,,,
2,81,75.18,1254,9689,Qualifying,2025,Australian Grand Prix,Melbourne,2025-03-15T05:00:00+00:00,melbourne,,,
3,1,75.481,1254,9689,Qualifying,2025,Australian Grand Prix,Melbourne,2025-03-15T05:00:00+00:00,melbourne,,,
4,63,75.546,1254,9689,Qualifying,2025,Australian Grand Prix,Melbourne,2025-03-15T05:00:00+00:00,melbourne,,,
5,22,75.67,1254,9689,Qualifying,2025,Australian Grand Prix,Melbourne,2025-03-15T05:00:00+00:00,melbourne,,,
6,23,75.737,1254,9689,Qualifying,2025,Australian Grand Prix,Melbourne,2025-03-15T05:00:00+00:00,melbourne,,,
7,16,75.755,1254,9689,Qualifying,2025,Australian Grand Prix,Melbourne,2025-03-15T05:00:00+00:00,melbourne,,,
8,44,75.973,1254,9689,Qualifying,2025,Australian Grand Prix,Melbourne,2025-03-15T05:00:00+00:00,melbourne,,,
9,10,75.98,1254,9689,Qualifying,2025,Australian Grand Prix,Melbourne,2025-03-15T05:00:00+00:00,melbourne,,,
10,55,76.062,1254,9689,Qualifying,2025,Australian Grand Prix,Melbourne,2025-03-15T05:00:00+00:00,melbourne,,,
11,6,76.175,1254,9689,Qualifying,2025,Australian Grand Prix,Melbourne,2025-03-15T05:00:00+00:00,melbourne,,,
12,14,76.453,1254,9689,Qualifying,2025,Australian Grand Prix,Melbourne,2025-03-15T05:00:00+00:00,melbourne,,,
13,18,76.483,1254,9689,Qualifying,2025,Australian Grand Prix,Melbourne,2025-03-15T05:00:00+00:00,melbourne,,,
14,7,76.863,1254,9689,Qualifying,2025,Australian Grand Prix,Melbourne,2025-03-15T05:00:00+00:00,melbourne,,,
15,5,77.52,1254,9689,Qualifying,2025,Australian Grand Prix,Melbourne,2025-03-15T05:00:00+00:00,melbourne,,,
16,12,76.525,1254,9689,Qualifying,2025,Australian Grand Prix,Melbourne,2025-03-15T05:00:00+00:00,melbourne,,,
17,27,76.579,1254,9689,Qualifying,2025,Australian Grand Prix,Melbourne,2025-03-15T05:00:00+00:00,melbourne,,,
18,30,77.094,1254,9689,Qualifying,2025,Australian Grand Prix,Melbourne,2025-03-15T05:00:00+00:00,melbourne,,,
19,31,77.147,1254,9689,Qualifying,2025,Australian Grand Prix,Melbourne,2025-03-15T05:00:00+00:00,melbourne,,,
20,87,,1254,9689,Qualifying,2025,Australian Grand Prix,Melbourne,2025-03-15T05:00:00+00:00,melbourne,,,
1,81,90.641,1255,9994,Qualifying,2025,Chinese Grand Prix,Shanghai,2025-03-22T07:00:00+00:00,shanghai,,,
2,63,90.723,1255,9994,Qualifying,2025,Chinese Grand Prix,Shanghai,2025-03-22T07:00:00+00:00,shanghai,,,
3,4,90.793,1255,9994,Qualifying,2025,Chinese Grand Prix,Shanghai,2025-03-22T07:00:00+00:00,shanghai,,,
4,1,90.817,1255,9994,Qualifying,2025,Chinese Grand Prix,Shanghai,2025-03-22T07:00:00+00:00,shanghai,,,
5,44,90.927,1255,9994,Qualifying,2025,Chinese Grand Prix,Shanghai,2025-03-22T07:00:00+00:00,shanghai,,,
6,16,91.021,1255,9994,Qualifying,2025,Chinese Grand Prix,Shanghai,2025-03-22T07:00:00+00:00,shanghai,,,
7,6,91.079,1255,9994,Qualifying,2025,Chinese Grand Prix,Shanghai,2025-03-22T07:00:00+00:00,shanghai,,,
8,12,91.103,1255,9994,Qualifying,2025,Chinese Grand Prix,Shanghai,2025-03-22T07:00:00+00:00,shanghai,,,
9,22,91.638,1255,9994,Qualifying,2025,Chinese Grand Prix,Shanghai,2025-03-22T07:00:00+00:00,shanghai,,,
10,23,91.706,1255,9994,Qualifying,2025,Chinese Grand Prix,Shanghai,2025-03-22T07:00:00+00:00,shanghai,,,
11,31,91.625,1255,9994,Qualifying,2025,Chinese Grand Prix,Shanghai,2025-03-22T07:00:00+00:00,shanghai,,,
12,27,91.632,1255,9994,Qualifying,2025,Chinese Grand Prix,Shanghai,2025-03-22T07:00:00+00:00,shanghai,,,
13,14,91.688,1255,9994,Qualifying,2025,Chinese Grand Prix,Shanghai,2025-03-22T07:00:00+00:00,shanghai,,,
14,18,91.773,1255,9994,Qualifying,2025,Chinese Grand Prix,Shanghai,2025-03-22T07:00:00+00:00,shanghai,,,
15,55,91.84,1255,9994,Qualifying,2025,Chinese Grand Prix,Shanghai,2025-03-22T07:00:00+00:00,shanghai,,,
