position,driver_number,lap_duration,meeting_key,session_key,session_name,season,meeting_name,circuit_short_name,date_start,race_key,driver,driver_full_name,team_name
1,1,89.179,1229,9468,Qualifying,2024,Bahrain Grand Prix,Sakhir,2024-03-01T16:00:00+00:00,sakhir,,,
2,16,89.407,1229,9468,Qualifying,2024,Bahrain Grand Prix,Sakhir,2024-03-01T16:00:00+00:00,sakhir,,,
3,63,89.485,1229,9468,Qualifying,2024,Bahrain Grand Prix,Sakhir,2024-03-01T16:00:00+00:00,sakhir,,,
4,55,89.507,1229,9468,Qualifying,2024,Bahrain Grand Prix,Sakhir,2024-03-01T16:00:00+00:00,sakhir,,,
5,11,89.537,1229,9468,Qualifying,2024,Bahrain Grand Prix,Sakhir,2024-03-01T16:00:00+00:00,sakhir,,,
6,14,89.542,1229,9468,Qualifying,2024,Bahrain Grand Prix,Sakhir,2024-03-01T16:00:00+00:00,sakhir,,,
7,4,89.614,1229,9468,Qualifying,2024,Bahrain Grand Prix,Sakhir,2024-03-01T16:00:00+00:00,sakhir,,,
8,81,89.683,1229,9468,Qualifying,2024,Bahrain Grand Prix,Sakhir,2024-03-01T16:00:00+00:00,sakhir,,,
9,44,89.71,1229,9468,Qualifying,2024,Bahrain Grand Prix,Sakhir,2024-03-01T16:00:00+00:00,sakhir,,,
10,27,90.502,1229,9468,Qualifying,2024,Bahrain Grand Prix,Sakhir,2024-03-01T16:00:00+00:00,sakhir,,,
11,22,90.129,1229,9468,Qualifying,2024,Bahrain Grand Prix,Sakhir,2024-03-01T16:00:00+00:00,sakhir,,,
12,18,90.2,1229,9468,Qualifying,2024,Bahrain Grand Prix,Sakhir,2024-03-01T16:00:00+00:00,sakhir,,,
13,23,90.221,1229,9468,Qualifying,2024,Bahrain Grand Prix,Sakhir,2024-03-01T16:00:00+00:00,sakhir,,,
14,3,90.278,1229,9468,Qualifying,2024,Bahrain Grand Prix,Sakhir,2024-03-01T16:00:00+00:00,sakhir,,,
15,20,90.529,1229,9468,Qualifying,2024,Bahrain Grand Prix,Sakhir,2024-03-01T16:00:00+00:00,sakhir,,,
16,77,90.756,1229,9468,Qualifying,2024,Bahrain Grand Prix,Sakhir,2024-03-01T16:00:00+00:00,sakhir,,,
17,24,90.757,1229,9468,Qualifying,2024,Bahrain Grand Prix,Sakhir,2024-03-01T16:00:00+00:00,sakhir,,,
18,2,90.77,1229,9468,Qualifying,2024,Bahrain Grand Prix,Sakhir,2024-03-01T16:00:00+00:00,sakhir,,,
19,31,90.793,1229,9468,Qualifying,2024,Bahrain Grand Prix,Sakhir,2024-03-01T16:00:00+00:00,sakhir,,,
20,10,90.948,1229,9468,Qualifying,2024,Bahrain Grand Prix,Sakhir,2024-03-01T16:00:00+00:00,sakhir,,,
1,1,87.472,1230,9476,Qualifying,2024,Saudi Arabian Grand Prix,Jeddah,2024-03-08T17:00:00+00:00,jeddah,,,
2,16,87.791,1230,9476,Qualifying,2024,Saudi Arabian Grand Prix,Jeddah,2024-03-08T17:00:00+00:00,jeddah,,,
3,11,87.807,1230,9476,Qualifying,2024,Saudi Arabian Grand Prix,Jeddah,2024-03-08T17:00:00+00:00,jeddah,,,
4,14,87.846,1230,9476,Qualifying,2024,Saudi Arabian Grand Prix,Jeddah,2024-03-08T17:00:00+00:00,jeddah,,,
5,81,88.089,1230,9476,Qualifying,2024,Saudi Arabian Grand Prix,Jeddah,2024-03-08T17:00:00+00:00,jeddah,,,
6,4,88.132,1230,9476,Qualifying,2024,Saudi Arabian Grand Prix,Jeddah,2024-03-08T17:00:00+00:00,jeddah,,,
7,63,88.316,1230,9476,Qualifying,2024,Saudi Arabian Grand Prix,Jeddah,2024-03-08T17:00:00+00:00,jeddah,,,
8,44,88.46,1230,9476,Qualifying,2024,Saudi Arabian Grand Prix,Jeddah,2024-03-08T17:00:00+00:00,jeddah,,,
9,22,88.547,1230,9476,Qualifying,2024,Saudi Arabian Grand Prix,Jeddah,2024-03-08T17:00:00+00:00,jeddah,,,
10,18,88.572,1230,9476,Qualifying,2024,Saudi Arabian Grand Prix,Jeddah,2024-03-08T17:00:00+00:00,jeddah,,,
11,38,88.642,1230,9476,Qualifying,2024,Saudi Arabian Grand Prix,Jeddah,2024-03-08T17:00:00+00:00,jeddah,,,
12,23,88.98,1230,9476,Qualifying,2024,Saudi Arabian Grand Prix,Jeddah,2024-03-08T17:00:00+00:00,jeddah,,,
13,20,89.02,1230,9476,Qualifying,2024,Saudi Arabian Grand Prix,Jeddah,2024-03-08T17:00:00+00:00,jeddah,,,
14,3,89.025,1230,9476,Qualifying,2024,Saudi Arabian Grand Prix,Jeddah,2024-03-08T17:00:00+00:00,jeddah,,,
