meeting_key,meeting_name,meeting_official_name,location,country_key,country_code,country_name,country_flag,circuit_key,circuit_short_name,circuit_type,circuit_info_url,circuit_image,gmt_offset,date_start,date_end,year,is_cancelled
1253,Pre-Season Testing,FORMULA 1 ARAMCO PRE-SEASON TESTING 2025,Sakhir,36,BRN,Bahrain,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/bahrain-flag.png,63,Sakhir,Permanent,https://api.multiviewer.app/api/v1/circuits/63/2025,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Bahrain%20carbon.png,03:00:00,2025-02-26T07:00:00+00:00,2025-02-28T16:00:00+00:00,2025,False
1254,Australian Grand Prix,FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,Melbourne,5,AUS,Australia,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/australia-flag.png,10,Melbourne,Temporary - Street,https://api.multiviewer.app/api/v1/circuits/10/2025,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Australia%20carbon.png,11:00:00,2025-03-14T01:30:00+00:00,2025-03-16T06:00:00+00:00,2025,False
1255,Chinese Grand Prix,FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,Shanghai,53,CHN,China,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/china-flag.png,49,Shanghai,Permanent,https://api.multiviewer.app/api/v1/circuits/49/2025,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/China%20carbon.png,08:00:00,2025-03-21T03:30:00+00:00,2025-03-23T09:00:00+00:00,2025,False
1256,Japanese Grand Prix,FORMULA 1 LENOVO JAPANESE GRAND PRIX 2025 ,Suzuka,4,JPN,Japan,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/japan-flag.png,46,Suzuka,Permanent,https://api.multiviewer.app/api/v1/circuits/46/2025,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Japan%20carbon.png,09:00:00,2025-04-04T02:30:00+00:00,2025-04-06T07:00:00+00:00,2025,False
1257,Bahrain Grand Prix,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2025,Sakhir,36,BRN,Bahrain,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/bahrain-flag.png,63,Sakhir,Permanent,https://api.multiviewer.app/api/v1/circuits/63/2025,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Bahrain%20carbon.png,03:00:00,2025-04-11T11:30:00+00:00,2025-04-13T17:00:00+00:00,2025,False
1258,Saudi Arabian Grand Prix,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2025,Jeddah,153,KSA,Saudi Arabia,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/saudi-arabia-flag.png,149,Jeddah,Temporary - Street,https://api.multiviewer.app/api/v1/circuits/149/2025,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Saudi Arabia%20carbon.png,03:00:00,2025-04-18T13:30:00+00:00,2025-04-20T19:00:00+00:00,2025,False
1259,Miami Grand Prix,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2025,Miami Gardens,19,USA,United States,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/united-states-flag.png,151,Miami,Temporary - Street,https://api.multiviewer.app/api/v1/circuits/151/2025,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Miami%20carbon.png,-04:00:00,2025-05-02T16:30:00+00:00,2025-05-04T22:00:00+00:00,2025,False
1260,Emilia Romagna Grand Prix,FORMULA 1 AWS GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2025,Imola,13,ITA,Italy,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/italy-flag.png,6,Imola,Permanent,https://api.multiviewer.app/api/v1/circuits/6/2025,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Emilia-Romagna%20carbon.png,02:00:00,2025-05-16T11:30:00+00:00,2025-05-18T15:00:00+00:00,2025,False
1261,Monaco Grand Prix,FORMULA 1 TAG HEUER GRAND PRIX DE MONACO 2025,Monaco,114,MON,Monaco,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/monaco-flag.png,22,Monte Carlo,Temporary - Street,https://api.multiviewer.app/api/v1/circuits/22/2025,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Monaco%20carbon.png,02:00:00,2025-05-23T11:30:00+00:00,2025-05-25T15:00:00+00:00,2025,False
1262,Spanish Grand Prix,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,Barcelona,1,ESP,Spain,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/spain-flag.png,15,Catalunya,Permanent,https://api.multiviewer.app/api/v1/circuits/15/2025,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Spain%20carbon.png,02:00:00,2025-05-30T11:30:00+00:00,2025-06-01T15:00:00+00:00,2025,False
1263,Canadian Grand Prix,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2025,Montréal,46,CAN,Canada,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/canada-flag.png,23,Montreal,Permanent,https://api.multiviewer.app/api/v1/circuits/23/2025,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Canada%20carbon.png,-04:00:00,2025-06-13T17:30:00+00:00,2025-06-15T20:00:00+00:00,2025,False
1264,Austrian Grand Prix,FORMULA 1 MSC CRUISES AUSTRIAN GRAND PRIX 2025,Spielberg,17,AUT,Austria,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/austria-flag.png,19,Spielberg,Permanent,https://api.multiviewer.app/api/v1/circuits/19/2025,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Austria%20carbon.png,02:00:00,2025-06-27T11:30:00+00:00,2025-06-29T15:00:00+00:00,2025,False
1277,British Grand Prix,FORMULA 1 QATAR AIRWAYS BRITISH GRAND PRIX 2025,Silverstone,2,GBR,United Kingdom,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/united-kingdom-flag.png,2,Silverstone,Permanent,https://api.multiviewer.app/api/v1/circuits/2/2025,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Great Britain%20carbon.png,01:00:00,2025-07-04T11:30:00+00:00,2025-07-06T16:00:00+00:00,2025,False
1265,Belgian Grand Prix,FORMULA 1 MOËT & CHANDON BELGIAN GRAND PRIX 2025,Spa-Francorchamps,16,BEL,Belgium,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/belgium-flag.png,7,Spa-Francorchamps,Temporary - Road,https://api.multiviewer.app/api/v1/circuits/7/2025,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Belgium%20carbon.png,02:00:00,2025-07-25T10:30:00+00:00,2025-07-27T15:00:00+00:00,2025,False
1266,Hungarian Grand Prix,FORMULA 1 LENOVO HUNGARIAN GRAND PRIX 2025,Budapest,14,HUN,Hungary,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/hungary-flag.png,4,Hungaroring,Permanent,https://api.multiviewer.app/api/v1/circuits/4/2025,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Hungary%20carbon.png,02:00:00,2025-08-01T11:30:00+00:00,2025-08-03T15:00:00+00:00,2025,False
1267,Dutch Grand Prix,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2025,Zandvoort,133,NED,Netherlands,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Flags%2016x9/netherlands-flag.png,55,Zandvoort,Permanent,https://api.multiviewer.app/api/v1/circuits/55/2025,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Netherlands%20carbon.png,02:00:00,2025-08-29T10:30:00+00:00,2025-08-31T15:00:00+00:00,2025,False
