meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1215,9133,2023-07-23T12:10:00+00:00,,1,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1215,9133,2023-07-23T12:20:00+00:00,,1,Other,,,,,PIT EXIT CLOSED
1215,9133,2023-07-23T12:45:10+00:00,,1,Other,,,,,RISK OF RAIN FOR F1 RACE IS 0%
1215,9133,2023-07-23T12:57:38+00:00,,1,Drs,,,,,DRS DISABLED
1215,9133,2023-07-23T13:03:06+00:00,,1,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1215,9133,2023-07-23T13:03:06.133000+00:00,,1,SessionStatus,,,,,SESSION STARTED
1215,9133,2023-07-23T13:03:22+00:00,,1,Flag,YELLOW,Sector,3.0,,YELLOW IN TRACK SECTOR 3
1215,9133,2023-07-23T13:03:31+00:00,,1,Flag,CLEAR,Sector,3.0,,CLEAR IN TRACK SECTOR 3
1215,9133,2023-07-23T13:04:15+00:00,,1,Other,,,,,LAP 1 TURN 1 INCIDENT NOTED
1215,9133,2023-07-23T13:06:37+00:00,,3,Drs,,,,,DRS ENABLED
1215,9133,2023-07-23T13:12:34+00:00,,7,Other,,,,,FIA STEWARDS: LAP 1 TURN 1 INCIDENT UNDER INVESTIGATION
1215,9133,2023-07-23T13:13:32+00:00,,8,Other,,,,,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 24 (ZHO) - CAUSING A COLLISION
1215,9133,2023-07-23T13:13:45+00:00,,8,Other,,,,,CAR 3 (RIC) TIME 1:26.073 DELETED - TRACK LIMITS AT TURN 4 LAP 7 15:12:31
1215,9133,2023-07-23T13:15:33+00:00,,9,Other,,,,,CAR 23 (ALB) TIME 1:28.053 DELETED - TRACK LIMITS AT TURN 4 LAP 8 15:13:54
1215,9133,2023-07-23T13:18:53+00:00,,12,Other,,,,,CAR 44 (HAM) TIME 1:25.153 DELETED - TRACK LIMITS AT TURN 4 LAP 11 15:17:57
1215,9133,2023-07-23T13:20:43+00:00,,13,Other,,,,,CAR 27 (HUL) TIME 1:26.188 DELETED - TRACK LIMITS AT TURN 4 LAP 12 15:19:34
1215,9133,2023-07-23T13:25:02+00:00,,16,Other,,,,,CAR 55 (SAI) TIME 1:28.509 DELETED - TRACK LIMITS AT TURN 4 LAP 15 15:23:44
