meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1217,9149,2023-08-27T12:05:53+00:00,,1,Other,,,,,PINK HEAD PADDING MATERIAL MUST BE USED
1217,9149,2023-08-27T12:10:01+00:00,,1,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1217,9149,2023-08-27T12:20:01+00:00,,1,Other,,,,,PIT EXIT CLOSED
1217,9149,2023-08-27T12:21:01+00:00,,1,Flag,YELLOW,Sector,11.0,,YELLOW IN TRACK SECTOR 11
1217,9149,2023-08-27T12:21:04+00:00,,1,Flag,CLEAR,Sector,11.0,,CLEAR IN TRACK SECTOR 11
1217,9149,2023-08-27T12:21:21+00:00,,1,Flag,YELLOW,Sector,11.0,,YELLOW IN TRACK SECTOR 11
1217,9149,2023-08-27T12:21:33+00:00,,1,Flag,CLEAR,Sector,11.0,,CLEAR IN TRACK SECTOR 11
1217,9149,2023-08-27T12:45:06+00:00,,1,Other,,,,,RISK OF RAIN FOR F1 RACE IS 70%
1217,9149,2023-08-27T12:57:05+00:00,,1,Drs,,,,,DRS DISABLED
1217,9149,2023-08-27T13:03:05+00:00,,1,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1217,9149,2023-08-27T13:03:05.333000+00:00,,1,SessionStatus,,,,,SESSION STARTED
1217,9149,2023-08-27T13:04:34+00:00,,1,Other,,,,,LOW GRIP CONDITIONS
1217,9149,2023-08-27T13:07:16+00:00,,3,Other,,,,,PIT LANE INCIDENT INVOLVING CARS 20 (MAG) AND 40 (LAW) NOTED - IMPEDING
1217,9149,2023-08-27T13:08:20+00:00,16.0,4,CarEvent,,,,,CAR 16 (LEC) OFF TRACK AND CONTINUED AT TURN 11
1217,9149,2023-08-27T13:09:36+00:00,,5,Other,,,,,FIA STEWARDS: PIT LANE INCIDENT INVOLVING CARS 20 (MAG) AND 40 (LAW) UNDER INVESTIGATION - IMPEDING
1217,9149,2023-08-27T13:10:44+00:00,23.0,5,CarEvent,,,,,CAR 23 (ALB) OFF TRACK AND CONTINUED AT TURN 11
1217,9149,2023-08-27T13:11:36+00:00,,6,Other,,,,,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 40 (LAW) - IMPEDING
1217,9149,2023-08-27T13:12:05+00:00,10.0,6,CarEvent,,,,,CAR 10 (GAS) OFF TRACK AND CONTINUED AT TURN 3
1217,9149,2023-08-27T13:12:48+00:00,,7,Other,,,,,CAR 10 (GAS) TIME 1:24.920 DELETED - TRACK LIMITS AT TURN 3 LAP 6 15:11:22
1217,9149,2023-08-27T13:13:17+00:00,2.0,7,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 15:13:17
1217,9149,2023-08-27T13:14:34+00:00,2.0,8,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 15:14:34
1217,9149,2023-08-27T13:15:03+00:00,2.0,8,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 15:15:03
1217,9149,2023-08-27T13:15:18+00:00,2.0,9,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 15:15:18
1217,9149,2023-08-27T13:16:50+00:00,2.0,10,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 15:16:49
1217,9149,2023-08-27T13:17:54+00:00,,10,Drs,,,,,DRS ENABLED
1217,9149,2023-08-27T13:23:14+00:00,,14,Other,,,,,INCIDENT INVOLVING CAR 10 (GAS) UNDER INVESTIGATION - SPEEDING IN THE PIT LANE
1217,9149,2023-08-27T13:25:25+00:00,,16,Flag,YELLOW,Sector,10.0,,YELLOW IN TRACK SECTOR 10
