meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1225,9189,2023-11-19T06:57:17+00:00,,28,Flag,CLEAR,Track,,,TRACK CLEAR
1225,9189,2023-11-19T06:57:20+00:00,,28,Other,,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 8
1225,9189,2023-11-19T06:57:22+00:00,,28,Other,,,,,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 63 (RUS) - CAUSING A COLLISION
1225,9189,2023-11-19T06:57:30+00:00,,28,Flag,CLEAR,Sector,8.0,,CLEAR IN TRACK SECTOR 8
1225,9189,2023-11-19T06:58:44+00:00,,29,Other,,,,,PIT LANE INCIDENT INVOLVING CAR 1 (VER) NOTED - UNSAFE RELEASE
1225,9189,2023-11-19T06:58:47+00:00,,29,Other,,,,,CAR 10 (GAS) TIME 2:45.291 DELETED - TRACK LIMITS AT TURN 17 LAP 28 22:57:45
1225,9189,2023-11-19T06:59:23+00:00,,29,Other,,,,,FIA STEWARDS: PIT LANE INCIDENT INVOLVING CAR 1 (VER) REVIEWED NO FURTHER INVESTIGATION - UNSAFE RELEASE
1225,9189,2023-11-19T06:59:30+00:00,,30,Other,,,,,CAR 10 (GAS) TIME 1:41.251 DELETED - TRACK LIMITS AT TURN 17 (NEXT LAP)
1225,9189,2023-11-19T07:00:56+00:00,,30,Drs,,,,,DRS ENABLED
1225,9189,2023-11-19T07:16:35+00:00,,40,Flag,YELLOW,Sector,9.0,,YELLOW IN TRACK SECTOR 9
1225,9189,2023-11-19T07:16:36+00:00,,40,Flag,CLEAR,Sector,9.0,,CLEAR IN TRACK SECTOR 9
1225,9189,2023-11-19T07:17:45+00:00,,41,Other,,,,,CAR 2 (SAR) TIME 1:39.781 DELETED - TRACK LIMITS AT TURN 8 LAP 40 23:16:34
1225,9189,2023-11-19T07:18:42+00:00,,41,Other,,,,,CAR 23 (ALB) TIME 1:41.170 DELETED - TRACK LIMITS AT TURN 4 LAP 40 23:16:06
1225,9189,2023-11-19T07:22:13+00:00,,44,Other,,,,,CAR 16 (LEC) TIME 1:38.449 DELETED - TRACK LIMITS AT TURN 12 LAP 43 23:21:23
1225,9189,2023-11-19T07:27:15+00:00,,47,Flag,YELLOW,Sector,18.0,,YELLOW IN TRACK SECTOR 18
1225,9189,2023-11-19T07:27:17+00:00,,47,Other,,,,,DRS DISABLED IN ZONE 2
1225,9189,2023-11-19T07:27:22+00:00,,47,Flag,CLEAR,Sector,18.0,,CLEAR IN TRACK SECTOR 18
1225,9189,2023-11-19T07:27:23+00:00,,47,Other,,,,,DRS ENABLED IN ZONE 2
1225,9189,2023-11-19T07:28:52+00:00,,48,Other,,,,,CAR 44 (HAM) TIME 1:36.425 DELETED - TRACK LIMITS AT TURN 8 LAP 47 23:27:46
1225,9189,2023-11-19T07:28:53+00:00,,48,Other,,,,,CAR 14 (ALO) TIME 1:36.718 DELETED - TRACK LIMITS AT TURN 8 LAP 47 23:27:47
1225,9189,2023-11-19T07:29:41+00:00,,48,Flag,YELLOW,Sector,18.0,,YELLOW IN TRACK SECTOR 18
1225,9189,2023-11-19T07:29:43+00:00,,48,Other,,,,,DRS DISABLED IN ZONE 2
1225,9189,2023-11-19T07:29:50+00:00,,48,Flag,CLEAR,Sector,18.0,,CLEAR IN TRACK SECTOR 18
1225,9189,2023-11-19T07:29:50+00:00,,48,Other,,,,,DRS ENABLED IN ZONE 2
1225,9189,2023-11-19T07:33:13.508000+00:00,,50,SessionStatus,,,,,SESSION FINISHED
1225,9189,2023-11-19T07:33:16+00:00,,50,Flag,CHEQUERED,Track,,,CHEQUERED FLAG
1225,9189,2023-11-19T07:34:43+00:00,,50,Flag,YELLOW,Sector,21.0,,YELLOW IN TRACK SECTOR 21
1225,9189,2023-11-19T07:34:47+00:00,,50,Flag,YELLOW,Sector,20.0,,YELLOW IN TRACK SECTOR 20
1225,9189,2023-11-19T07:41:58+00:00,,50,Flag,CLEAR,Sector,20.0,,CLEAR IN TRACK SECTOR 20
1225,9189,2023-11-19T07:42:03+00:00,,50,Flag,CLEAR,Sector,21.0,,CLEAR IN TRACK SECTOR 21
