position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1.0,1,50,25.0,False,False,False,4843.273,0,1230,9480
2.0,11,50,18.0,False,False,False,4856.916,13.643,1230,9480
3.0,16,50,16.0,False,False,False,4861.912,18.639,1230,9480
4.0,81,50,12.0,False,False,False,4875.28,32.007,1230,9480
5.0,14,50,10.0,False,False,False,4879.032,35.759,1230,9480
6.0,63,50,8.0,False,False,False,4883.209,39.936,1230,9480
7.0,38,50,6.0,False,False,False,4885.952,42.679,1230,9480
8.0,4,50,4.0,False,False,False,4888.981,45.708,1230,9480
9.0,44,50,2.0,False,False,False,4890.664,47.391,1230,9480
10.0,27,50,1.0,False,False,False,4920.269,76.996,1230,9480
11.0,23,50,0.0,False,False,False,4931.627,88.354,1230,9480
12.0,20,50,0.0,False,False,False,4949.01,105.737,1230,9480
13.0,31,49,0.0,False,False,False,,+1 LAP,1230,9480
14.0,2,49,0.0,False,False,False,,+1 LAP,1230,9480
15.0,22,49,0.0,False,False,False,,+1 LAP,1230,9480
16.0,3,49,0.0,False,False,False,,+1 LAP,1230,9480
17.0,77,49,0.0,False,False,False,,+1 LAP,1230,9480
18.0,24,49,0.0,False,False,False,,+1 LAP,1230,9480
,18,5,0.0,True,False,False,,,1230,9480
,10,1,0.0,True,False,False,,,1230,9480
