position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1.0,4,62,25.0,False,False,False,6052.571,0,1246,9606
2.0,1,62,18.0,False,False,False,6073.516,20.945,1246,9606
3.0,81,62,15.0,False,False,False,6094.394,41.823,1246,9606
4.0,63,62,12.0,False,False,False,6113.611,61.04,1246,9606
5.0,16,62,10.0,False,False,False,6115.001,62.43,1246,9606
6.0,44,62,8.0,False,False,False,6137.819,85.248,1246,9606
7.0,55,62,6.0,False,False,False,6148.61,96.039,1246,9606
8.0,14,61,4.0,False,False,False,,+1 LAP,1246,9606
9.0,27,61,2.0,False,False,False,,+1 LAP,1246,9606
10.0,11,61,1.0,False,False,False,,+1 LAP,1246,9606
11.0,43,61,0.0,False,False,False,,+1 LAP,1246,9606
12.0,22,61,0.0,False,False,False,,+1 LAP,1246,9606
13.0,31,61,0.0,False,False,False,,+1 LAP,1246,9606
14.0,18,61,0.0,False,False,False,,+1 LAP,1246,9606
15.0,24,61,0.0,False,False,False,,+1 LAP,1246,9606
16.0,77,61,0.0,False,False,False,,+1 LAP,1246,9606
17.0,10,61,0.0,False,False,False,,+1 LAP,1246,9606
18.0,3,61,0.0,False,False,False,,+1 LAP,1246,9606
19.0,20,57,0.0,True,False,False,,,1246,9606
,23,15,0.0,True,False,False,,,1246,9606
