position,driver_number,lap_duration,meeting_key,session_key
1,1,89.179,1229,9468
2,16,89.407,1229,9468
3,63,89.485,1229,9468
4,55,89.507,1229,9468
5,11,89.537,1229,9468
6,14,89.542,1229,9468
7,4,89.614,1229,9468
8,81,89.683,1229,9468
9,44,89.71,1229,9468
10,27,90.502,1229,9468
11,22,90.129,1229,9468
12,18,90.2,1229,9468
13,23,90.221,1229,9468
14,3,90.278,1229,9468
15,20,90.529,1229,9468
16,77,90.756,1229,9468
17,24,90.757,1229,9468
18,2,90.77,1229,9468
19,31,90.793,1229,9468
20,10,90.948,1229,9468
